Nitrogen,Phosphorus,Potassium,Soil Temperature,Moisture,pH,Humidity,Air Temperature,Crop
17,86,78,25.12,96,6.27,40.3,29.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,65,58,22.75,80,5.57,49.5,29.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,98,90,22.06,72,4.93,48.5,24.86,Potato
16,83,76,23.06,83,6.56,48.2,30.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
18,88,81,23.75,48,5.94,47.8,30.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,76,68,24.94,73,5.55,49.5,31,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,74,66,24.76,93,5.76,48.1,30,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,70,62,24.69,87,5.92,46.2,30.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,59,62,25.94,61,7.31,44,30.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,93,86,24.75,88,7.29,46,32,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,54,46,24.69,58,7.04,44,29.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,77,70,22.94,69,7.19,48.9,28.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
15,81,74,25.37,81,7.02,46.2,29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
18,88,81,24.81,98,7.23,50.3,28.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,79,71,25,62,5.95,47.8,29.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,71,63,23.56,95,6.98,49.4,29.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
15,81,73,22.62,100,6.12,45.5,29.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,97,90,24,96,5.02,43.5,30.9,Potato
20,93,85,24.56,95,7.15,47.1,30.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,55,47,24.69,96,5.58,45.6,30.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,78,70,22.81,81,7.12,49.4,31.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,55,47,23.37,92,6.28,47.1,31,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,76,68,24.5,87,5.88,45.6,30.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,77,70,23.31,82,6.67,46.7,28.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
16,84,76,23.31,33,6.46,47.7,29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,71,64,22.12,24,7.12,43.9,28.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,85,78,23.37,25,6.53,41.1,28.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,55,47,24.44,54,5.71,39.8,27.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
2,51,44,23.87,33,5.83,39.2,27.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,70,62,23.12,75,7.12,40.6,27.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
15,81,74,23.25,50,7.16,41.5,28.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,58,50,24.12,83,7.12,44.3,28.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,68,61,23.94,80,5.88,42.1,28.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,74,70,22.94,69,6.71,42.9,28.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,57,49,24.75,33,6.46,44.4,27.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,62,55,22.12,74,7.15,43.5,27.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,78,70,22.18,83,6.52,45.3,27.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
16,83,76,22.87,49,7.12,45.1,26.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,61,53,22.94,50,7.17,46,26.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,75,67,22.56,50,5.63,48,25.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,78,71,23.37,49,6.53,44.6,24.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,70,63,22.94,68,5.72,44.4,24,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,81,73,22.87,63,6.8,45.2,23.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,52,44,22.26,85,7.15,45.5,23.78,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,42,74,21.87,72,6.31,46.1,22.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,64,57,22.26,65,6.56,46.8,30.33,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,63,55,21.87,71,5.8,45.4,31.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,74,67,24.06,64,6.65,49.8,33.18,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,72,64,22.56,53,7.17,48.1,30.27,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
46,154,147,23.12,56,7.2,52.6,35.46,Tomato
29,113,106,22.87,58,7.03,55.7,33.8,Tomato
19,91,84,23.62,80.36,6.88,55.6,36.21,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
21,96,89,26.52,79,5.39,57.4,36.75,Potato
32,38,30,26.46,85,6.54,59.1,31.78,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
25,105,90,25.48,89,5.22,61,31.5,Potato
0,43,35,22.06,36,7.91,56.2,31.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,39,41,22.12,55,6.58,45.8,26.94,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,53,35,26.69,65,7.16,43.2,28.55,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,40,32,23.56,76,6.83,49.5,24.75,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,59,51,23.31,50,6.2,46,25.91,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,38,30,22.37,81,7.1,47.1,32.62,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,46,39,24.62,74,7.12,46.2,25.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,42,34,24.5,58,5.86,48.4,24.38,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,45,37,23.44,36,5.74,47.4,24.73,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,44,36,29.06,62,7.12,50.6,32.38,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,45,37,25.35,97,7.11,44.5,32.66,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,44,36,23.14,64,6.92,53.4,28.82,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,39,31,26.6,62,6.07,54.9,24.41,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,44,36,25.62,68,6.68,43.6,24.95,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,48,35,21.34,49,7.11,42.8,30.71,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,38,30,24.69,70,7.17,46.9,29.07,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,41,33,22.25,91,5.6,35.5,27.19,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,67,59,20.66,35,6.23,34.7,32.31,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
2,52,45,22.31,72,6.88,30.6,27.52,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,55,47,22.37,96,6.3,30,30.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,53,46,23,98,6.21,44.3,29.55,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,63,55,22.94,90,7.13,45.9,28.89,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
2,51,48,21.69,87,7.17,40.3,22.78,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,92,84,20.06,91,6.28,35.8,28.72,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,64,57,20.69,93,5.74,38.3,33.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,56,48,21.81,85,6.36,38.3,32.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,53,45,21.5,84,5.72,48.8,32.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,61,53,23.06,90,7.15,46.3,32.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,54,46,22.19,86,7.15,42.2,31.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,65,57,22.44,93,5.73,42.4,31.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
27,109,101,21.62,91,7.11,47.9,22.59,Potato
8,65,58,21.87,80,7.17,42.9,31.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,73,65,22.56,87,7.14,41.5,30.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,74,64,21.62,88,5.71,48.5,30.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
31,118,111,22.5,95,6.83,48.7,29.6,Tomato
35,127,119,24.06,96,6.51,48,29.5,Tomato
26,106,99,23.27,97,5.59,47.4,25.79,Potato
33,124,117,24.19,94,6.99,55.9,29.6,Tomato
8,65,58,23.44,98,6.49,57.7,30.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,60,62,22.81,94,7.16,51.4,30.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,64,56,23.06,87,7.19,43,30.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,59,52,23.31,95,5.8,40.3,30.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,54,46,24.5,87,7.19,49.7,29.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,73,65,23.37,95,6.65,51.2,28.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
2,51,44,23.87,89,5.78,45.9,29.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,63,56,23.81,86,7.07,49.4,29.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,68,61,24.37,85,7.19,49.9,29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
16,84,77,24.92,94,6.77,48.6,28.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,64,57,24.5,93,6.46,50.2,28.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,78,71,24.84,87,7.15,47.1,28.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,68,60,23.87,92,6.32,48.3,28.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
32,122,114,24.25,90,7.13,53.8,22.32,Tomato
12,75,68,24,93,6.87,46.7,27.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,57,49,23.56,89,5.89,51.5,27.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,77,69,24.25,86,7,52.3,27.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,64,57,24.06,96,6.68,49.6,27.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,60,53,24.12,91,7.89,53.7,27.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,72,64,25.19,81,6.37,54.8,27,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,61,54,25.31,82,5.8,53.7,26.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,77,70,22.87,91,7.1,53.1,26,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,94,86,24.62,97,7.14,71,29.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
16,84,76,24.06,93,7.12,69.5,29.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,92,84,25.44,94,6.92,64.5,29.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
23,94,92,25.75,94,5.14,74,25.62,Potato
24,101,94,25.87,94,5.06,66.2,26.78,Potato
20,94,86,25.75,95,6.2,63.3,29.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
32,121,114,25.94,97,5.6,59.1,24.59,Tomato
12,74,67,27.31,93,5.59,56.6,29.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,80,73,25.09,91,7.18,56.6,29.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
23,100,183,24.9,86,5.97,64.9,23.75,Tomato
17,86,79,24.06,86,5.53,64.9,29.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,72,64,24.31,89,6.74,75.6,28.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,73,66,24.87,78,7.08,68.8,28.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,66,58,25.19,87,7.17,74.6,28.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,72,65,24.75,83,6.25,74.3,27.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,73,66,24.87,78,6.79,68.8,28.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,66,58,25.19,87,7.16,74.6,28.26,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,72,65,24.75,83,6.72,74.5,27.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,67,60,24.87,85,6.58,71.2,27,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
19,90,83,24.75,88,5.63,82,27.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,68,60,24.31,79,5.82,84,27.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,73,65,24.94,77,7.19,75.1,27.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,64,62,25.06,81,6.09,74,27.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,74,66,25.12,80,5.99,82.2,27,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,66,58,24.94,78,7.01,81.2,27.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,75,67,24.56,79,7.18,77.4,27.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
15,82,75,23.94,85,7.02,75.6,27.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,75,68,24.12,89,7.13,74.2,27.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
18,89,82,24.74,88,6.99,68.8,27.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,64,57,24.69,94,5.74,69.7,27.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,80,73,25,86,5.82,78.6,27.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,77,70,24.31,89,5.69,70.6,27,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
21,94,87,24.5,81,6.66,69,26.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,72,64,23.75,81,6.54,75.3,26.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,71,64,25.12,70,6.85,79.7,26.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,64,56,24.12,70,6.46,80.5,26.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,64,57,24.87,71,6.16,77.7,26.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,72,64,24,64,6.08,78,26.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,66,58,25.56,68,6.66,80.6,26.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,61,54,26,68,6.94,70.1,26.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,65,57,24.87,65,6.11,73.8,26.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,66,59,29.2,70,7.21,70.3,26.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,76,68,24.44,64,6.79,79.9,26.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,71,64,24.81,70,7.14,84.6,26.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,58,60,25.69,65,7.19,82.5,26.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,66,58,25.64,62,6.4,82.3,26.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,64,57,25.31,76,7.18,83.6,26,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,62,54,25.81,79,5.95,84.2,26.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,55,47,25.8,80,6.52,85.2,26.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,57,49,22.94,60,5.92,89.1,24.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,53,45,23.69,87.9,6.54,90.1,27.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,65,58,23.65,94,7.19,91.9,24.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,63,55,23.82,96,7.12,83.1,24.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,71,64,23.62,97,6.31,89.2,24.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,72,65,23.75,98,6.33,90,24.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,69,61,24.19,99,6.25,87.3,24,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,66,59,23.31,94,7.12,90.3,23.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,60,65,24.1,91.1,5.65,90.5,24.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,60,52,26.5,94,7.14,71.9,30,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,62,54,26.31,92,5.79,73,29.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,66,59,27.06,86,7.11,71.6,29.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,65,67,25,94.5,7.16,82.3,25.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,58,50,23.12,94.5,5.8,90.9,23.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,59,52,24.1,93,7.15,85.9,23.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,67,59,23.06,94,5.76,90,23.7,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,64,66,23,93.12,7.02,89,24.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,69,61,22.69,92.72,7.13,90.7,23.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,62,60,22.9,90.1,7.13,89,23,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,55,47,22.75,90.1,6.42,90,22.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,60,52,26.5,94,7.13,71.9,30,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,62,54,26.31,92,6.48,73,29.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,66,59,27.06,86,6.15,71.6,29.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
40,100,39,26.5,88,5.67,78.4,29.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
18,92,89,26.8,82,5.84,79.5,30.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
15,81,73,26,95,7.2,75.1,29.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,79,72,25.44,98,7.13,76.5,29.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,67,59,25.62,99,7.01,79.6,29.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,62,55,26.37,97,6.49,74,29.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,66,59,25.5,88,7.12,73.5,29.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,68,61,25.75,89,7.16,77.2,29.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,74,67,25.94,91,6.05,72.7,29.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,93,85,25.75,93,6.58,77.4,29.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
37,133,126,25.8,94,5.82,71.4,22.48,Tomato
32,121,114,24.5,90,6.86,78.5,24.39,Tomato
10,70,62,25.75,91,7.16,72.1,29.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,63,56,25.8,94,7.12,77.2,29.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,80,72,26.12,68,5.82,74.5,29.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,74,66,26,67,7.14,75.8,29.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
16,83,75,26.56,98,7.17,76.2,29.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,59,61,26.87,89,5.75,82.2,29.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,59,55,26.56,99,7.17,75.9,29.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,62,55,26.19,92,7.13,82.6,29.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,71,63,26.3,95,6.47,76.8,29.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
24,103,96,26.56,96,5.36,80.7,26.19,Potato
13,78,70,26.2,98,7.12,79.2,29.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
28,111,104,26.5,93,5.24,78.2,25.83,Potato
9,68,60,26.5,97,5.62,82,29.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,114,107,26.12,92,5.61,81.8,26.43,Potato
22,98,90,26.5,93,5.62,83.3,27.64,Potato
16,83,76,26.8,98,6.78,84.5,29.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,59,51,26.4,92,7.13,85.2,29.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,56,48,25.5,94,7.14,83.3,29.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,65,57,26.8,93,7.11,82.5,29.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,70,62,27,95,6.42,83.5,29.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
21,95,87,27.37,99,5.59,77.1,29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
35,128,121,27.44,99,7.06,71.9,21.02,Tomato
13,78,70,27.04,99,7.05,78.8,28.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
15,82,75,27,98,6.12,76.4,29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,73,66,27.87,97,5.53,70.7,29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,99,91,27.1,99,5.2,74.9,22.54,Potato
29,114,107,27,93,6.14,79.8,24.41,Tomato
30,115,108,27.09,94,6.92,78.1,25.12,Tomato
21,96,89,27.5,96,5.38,79.1,23.41,Potato
16,84,76,27.06,97,6.41,79.7,29.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
28,112,104,27.12,92,5.1,79.1,27.38,Potato
16,85,77,27.94,96,6.91,75.1,28.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,80,72,27.95,98,6.06,73.5,28.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
30,121,118,27.69,98,7.51,73.6,23.32,Tomato
